data,cotacao,log_retorno,conjunto
2010-01-04,1.724,,treino
2010-01-05,1.7227,-0.0007543447713149,treino
2010-01-06,1.7337,0.0063650255395185,treino
2010-01-07,1.7413,0.004374107693495,treino
2010-01-08,1.739,-0.0013217253310539,treino
2010-01-11,1.7323,-0.0038602300693879,treino
2010-01-12,1.7439,0.0066739790905193,treino
2010-01-13,1.7442,0.0001720134174706,treino
2010-01-14,1.7648,0.0117413717063528,treino
2010-01-15,1.7711,0.0035634529633484,treino
2010-01-18,1.7721,0.0005644615187128,treino
2010-01-19,1.7747,0.0014661105592198,treino
2010-01-20,1.7854,0.0060110852047425,treino
2010-01-21,1.7903,0.0027407238119656,treino
2010-01-22,1.8187,0.0157387565757448,treino
2010-01-25,1.8194,0.0003848162549892,treino
2010-01-26,1.8367,0.0094637067465278,treino
2010-01-27,1.8513,0.0079176118606415,treino
2010-01-28,1.856,0.0025355393510151,treino
2010-01-29,1.8748,0.010078352702405,treino
2010-02-01,1.8773,0.0013325872817653,treino
2010-02-02,1.8363,-0.0220818968051825,treino
2010-02-03,1.8337,-0.0014168939700148,treino
2010-02-04,1.8715,0.0204044647893646,treino
2010-02-05,1.8753,0.0020283982613927,treino
2010-02-08,1.873,-0.0012272231617879,treino
2010-02-09,1.855,-0.0096567274025529,treino
2010-02-10,1.8483,-0.0036183983529007,treino
2010-02-11,1.8516,0.0017838324684806,treino
2010-02-12,1.867,0.0082827343846072,treino
2010-02-17,1.8313,-0.0193067673948197,treino
2010-02-18,1.8266,-0.0025697818893243,treino
2010-02-19,1.8116,-0.0082458825755197,treino
2010-02-22,1.8046,-0.0038714721216585,treino
2010-02-23,1.8186,0.007728013731412,treino
2010-02-24,1.8203,0.0009343483600406,treino
2010-02-25,1.8364,0.0088058107232138,treino
2010-02-26,1.811,-0.0139279544916536,treino
2010-03-01,1.8,-0.0060925139991572,treino
2010-03-02,1.7851,-0.0083122288307496,treino
2010-03-03,1.7846,-0.0002801355874554,treino
2010-03-04,1.7888,0.0023507034947289,treino
2010-03-05,1.7824,-0.003584233227815,treino
2010-03-08,1.7826,0.000112201963652,treino
2010-03-09,1.7899,0.0040867796558373,treino
2010-03-10,1.7716,-0.0102766593034111,treino
2010-03-11,1.7693,-0.001299104930086,treino
2010-03-12,1.7637,-0.0031701130426381,treino
2010-03-15,1.7644,0.0003968141544656,treino
2010-03-16,1.7666,0.0012461060802471,treino
2010-03-17,1.764,-0.0014728377442951,treino
2010-03-18,1.7848,0.011722406551586,treino
2010-03-19,1.7954,0.0059214742042654,treino
2010-03-22,1.803,0.004224105880729,treino
2010-03-23,1.7813,-0.0121085094048779,treino
2010-03-24,1.7904,0.0050956237592214,treino
2010-03-25,1.8008,0.0057919520348617,treino
2010-03-26,1.8231,0.0123073382168967,treino
2010-03-29,1.8064,-0.0092024344140216,treino
2010-03-30,1.7952,-0.0062194780670203,treino
2010-03-31,1.781,-0.0079414320387155,treino
2010-04-01,1.7701,-0.0061389621425508,treino
2010-04-05,1.7573,-0.0072575019463102,treino
2010-04-06,1.7605,0.0018193193943066,treino
2010-04-07,1.7662,0.0032324864395946,treino
2010-04-08,1.7806,0.0081200401048689,treino
2010-04-09,1.773,-0.0042773590653629,treino
2010-04-12,1.7608,-0.006904775861956,treino
2010-04-13,1.7584,-0.0013639465628949,treino
2010-04-14,1.7446,-0.0078790016502386,treino
2010-04-15,1.7483,0.002118584204485,treino
2010-04-16,1.7558,0.0042807062885051,treino
2010-04-19,1.7588,0.0017071648145465,treino
2010-04-20,1.7497,-0.0051874136560808,treino
2010-04-22,1.7626,0.0073456470149859,treino
2010-04-23,1.7624,-0.0001134751774267,treino
2010-04-26,1.7446,-0.0101512134890151,treino
2010-04-27,1.7592,0.0083338572414333,treino
2010-04-28,1.7558,-0.001934566748443,treino
2010-04-29,1.7321,-0.0135900483158739,treino
2010-04-30,1.7306,-0.000866376003596,treino
2010-05-03,1.7315,0.0005199156698383,treino
2010-05-04,1.7557,0.0138795529326861,treino
2010-05-05,1.7862,0.0172228204746227,treino
2010-05-06,1.8353,0.0271174976146406,treino
2010-05-07,1.8343,-0.0005450185441212,treino
2010-05-10,1.7833,-0.0281973568618374,treino
2010-05-11,1.7843,0.0005606009789154,treino
2010-05-12,1.7723,-0.006748043376289,treino
2010-05-13,1.7737,0.0007896221504467,treino
2010-05-14,1.7967,0.0128838887269856,treino
2010-05-17,1.8045,0.0043318961443169,treino
2010-05-18,1.7921,-0.0068954285335003,treino
2010-05-19,1.8366,0.0245279196300788,treino
2010-05-20,1.8677,0.0167916911401394,treino
2010-05-21,1.871,0.0017653199545283,treino
2010-05-24,1.8522,-0.0100989255379209,treino
2010-05-25,1.8811,0.0154825903628061,treino
2010-05-26,1.8461,-0.018781406322451,treino
2010-05-27,1.8328,-0.007230453637238,treino
2010-05-28,1.8229,-0.0054162126004099,treino
2010-05-31,1.8167,-0.0034069710941764,treino
2010-06-01,1.8255,0.0048322536509921,treino
2010-06-02,1.8362,0.0058442966139081,treino
2010-06-04,1.8401,0.0021216992427289,treino
2010-06-07,1.8634,0.0125828580639958,treino
2010-06-08,1.8658,0.001287139510536,treino
2010-06-09,1.8423,-0.0126751245233973,treino
2010-06-10,1.8185,-0.0130028055764195,treino
2010-06-11,1.8125,-0.0033048776982138,treino
2010-06-14,1.803,-0.0052551635255125,treino
2010-06-15,1.7971,-0.0032776896653408,treino
2010-06-16,1.7893,-0.0043497726401603,treino
2010-06-17,1.7817,-0.0042565172078918,treino
2010-06-18,1.7761,-0.0031480154166431,treino
2010-06-21,1.7663,-0.0055329861118833,treino
2010-06-22,1.768,0.000962001036191,treino
2010-06-23,1.7908,0.0128134831692217,treino
2010-06-24,1.7907,-5.58425240966276e-05,treino
2010-06-25,1.7781,-0.0070612263808116,treino
2010-06-28,1.7826,0.0025275942347147,treino
2010-06-29,1.8076,0.0139270258405077,treino
2010-06-30,1.8015,-0.0033803473489767,treino
2010-07-01,1.8006,-0.0004997085137715,treino
2010-07-02,1.7785,-0.0123496302858665,treino
2010-07-05,1.7755,-0.0016882390053671,treino
2010-07-06,1.7665,-0.0050818855839427,treino
2010-07-07,1.7719,0.0030522293648237,treino
2010-07-08,1.7652,-0.0037884187686314,treino
2010-07-09,1.7572,-0.0045423652937676,treino
2010-07-12,1.7644,0.0040890561291601,treino
2010-07-13,1.7525,-0.0067673493220395,treino
2010-07-14,1.7657,0.0075038724000074,treino
2010-07-15,1.769,0.0018672028510325,treino
2010-07-16,1.7792,0.0057494098964779,treino
2010-07-19,1.7854,0.0034786546889985,treino
2010-07-20,1.78,-0.0030291154591308,treino
2010-07-21,1.7766,-0.0019119389505303,treino
2010-07-22,1.7629,-0.0077412450439028,treino
2010-07-23,1.7617,-0.0006809283586031,treino
2010-07-26,1.7669,0.0029473466895098,treino
2010-07-27,1.7658,-0.0006227531551222,treino
