data,cotacao,log_retorno
2010-01-04,1.724,
2010-01-05,1.7227,-0.0007543447713149742
2010-01-06,1.7337,0.006365025539518565
2010-01-07,1.7413,0.004374107693495
2010-01-08,1.739,-0.0013217253310539023
2010-01-11,1.7323,-0.00386023006938796
2010-01-12,1.7439,0.006673979090519366
2010-01-13,1.7442,0.00017201341747064003
2010-01-14,1.7648,0.01174137170635281
2010-01-15,1.7711,0.003563452963348479
2010-01-18,1.7721,0.000564461518712811
2010-01-19,1.7747,0.0014661105592198576
2010-01-20,1.7854,0.006011085204742583
2010-01-21,1.7903,0.002740723811965662
2010-01-22,1.8187,0.01573875657574486
2010-01-25,1.8194,0.00038481625498920646
2010-01-26,1.8367,0.009463706746527856
2010-01-27,1.8513,0.007917611860641549
2010-01-28,1.856,0.002535539351015137
2010-01-29,1.8748,0.010078352702405091
2010-02-01,1.8773,0.0013325872817653295
2010-02-02,1.8363,-0.022081896805182577
2010-02-03,1.8337,-0.0014168939700148764
2010-02-04,1.8715,0.02040446478936464
2010-02-05,1.8753,0.002028398261392783
2010-02-08,1.873,-0.001227223161787916
2010-02-09,1.855,-0.009656727402552967
2010-02-10,1.8483,-0.003618398352900787
2010-02-11,1.8516,0.0017838324684806839
2010-02-12,1.867,0.008282734384607249
2010-02-17,1.8313,-0.019306767394819735
2010-02-18,1.8266,-0.0025697818893243296
2010-02-19,1.8116,-0.008245882575519725
2010-02-22,1.8046,-0.0038714721216585035
2010-02-23,1.8186,0.007728013731412076
2010-02-24,1.8203,0.0009343483600406932
2010-02-25,1.8364,0.008805810723213847
2010-02-26,1.811,-0.013927954491653627
2010-03-01,1.8,-0.006092513999157223
2010-03-02,1.7851,-0.008312228830749668
2010-03-03,1.7846,-0.0002801355874554323
2010-03-04,1.7888,0.0023507034947289895
2010-03-05,1.7824,-0.0035842332278150923
2010-03-08,1.7826,0.0001122019636520255
2010-03-09,1.7899,0.004086779655837369
2010-03-10,1.7716,-0.01027665930341115
2010-03-11,1.7693,-0.0012991049300860036
2010-03-12,1.7637,-0.003170113042638145
2010-03-15,1.7644,0.0003968141544656856
2010-03-16,1.7666,0.0012461060802471113
2010-03-17,1.764,-0.0014728377442951857
2010-03-18,1.7848,0.011722406551586073
2010-03-19,1.7954,0.0059214742042654755
2010-03-22,1.803,0.004224105880729079
2010-03-23,1.7813,-0.012108509404877954
2010-03-24,1.7904,0.005095623759221457
2010-03-25,1.8008,0.005791952034861714
2010-03-26,1.8231,0.01230733821689678
2010-03-29,1.8064,-0.009202434414021687
2010-03-30,1.7952,-0.00621947806702039
2010-03-31,1.781,-0.007941432038715557
2010-04-01,1.7701,-0.00613896214255083
2010-04-05,1.7573,-0.007257501946310252
2010-04-06,1.7605,0.0018193193943066843
2010-04-07,1.7662,0.0032324864395946173
2010-04-08,1.7806,0.008120040104868997
2010-04-09,1.773,-0.004277359065362973
2010-04-12,1.7608,-0.006904775861956036
2010-04-13,1.7584,-0.0013639465628949576
2010-04-14,1.7446,-0.007879001650238693
2010-04-15,1.7483,0.0021185842044850745
2010-04-16,1.7558,0.004280706288505187
2010-04-19,1.7588,0.00170716481454658
2010-04-20,1.7497,-0.005187413656080886
2010-04-22,1.7626,0.007345647014985968
2010-04-23,1.7624,-0.00011347517742676949
2010-04-26,1.7446,-0.010151213489015154
2010-04-27,1.7592,0.008333857241433318
2010-04-28,1.7558,-0.0019345667484430562
2010-04-29,1.7321,-0.01359004831587396
2010-04-30,1.7306,-0.0008663760035960699
2010-05-03,1.7315,0.0005199156698383334
2010-05-04,1.7557,0.013879552932686168
2010-05-05,1.7862,0.017222820474622758
2010-05-06,1.8353,0.027117497614640662
2010-05-07,1.8343,-0.0005450185441212563
2010-05-10,1.7833,-0.02819735686183744
2010-05-11,1.7843,0.0005606009789154154
2010-05-12,1.7723,-0.006748043376289092
2010-05-13,1.7737,0.000789622150446756
2010-05-14,1.7967,0.012883888726985648
2010-05-17,1.8045,0.004331896144316949
2010-05-18,1.7921,-0.006895428533500336
2010-05-19,1.8366,0.02452791963007883
2010-05-20,1.8677,0.016791691140139453
2010-05-21,1.871,0.0017653199545283327
2010-05-24,1.8522,-0.01009892553792091
2010-05-25,1.8811,0.015482590362806192
